ID,Applicant_Name,Gender,District,State,Pincode,Ownership,GovtID_Type,ID_Number,Category,Load_Applied,Date_of_Application,Date_of_Approval,Modified_Date,Status,Reviewer_ID,Reviewer_Name,Reviewer_Comments
274,Riya Raj,Male,East,Tamil Nadu,973940,INDIVIDUAL,AADHAR,pb1408hbEy,Commercial,4,6/18/2025,6/23/2025,6/24/2025,Pending,9104,Ayesha Butala,Installation pending
275,Uthkarsh Chokshi,Female,South,Tamil Nadu,847387,INDIVIDUAL,PAN,MR6583fygZ,Commercial,5,5/9/2025,5/11/2025,5/12/2025,Rejected,9612,Yakshit Sane,KYC failed
276,Emir Ramachandran,Female,East,Tamil Nadu,877925,INDIVIDUAL,AADHAR,mp1984kVhT,Commercial,4,7/5/2025,7/8/2025,7/12/2025,Approved,9297,Seher Bahri,Documents Verification in progress
277,Jiya Atwal,Female,South,Tamil Nadu,262833,INDIVIDUAL,VOTER_ID,Yd6336lAyN,Commercial,3,7/8/2025,7/10/2025,7/13/2025,Rejected,7099,Jayant Devi,Documents Verification in progress
278,Kavya Chad,Female,South,Tamil Nadu,372156,JOINT,AADHAR,Yf5483guvd,Residential,8,5/13/2025,5/20/2025,5/22/2025,Pending,9928,Umang Lad,Documents Verification in progress
279,Sara Keer,Female,East,Tamil Nadu,768444,INDIVIDUAL,VOTER_ID,CS2283KgZT,Commercial,10,7/17/2025,7/25/2025,7/28/2025,Connection Released,1523,Indrajit Thaman,Installation pending
280,Myra Gopal,Female,North,Tamil Nadu,50094,INDIVIDUAL,VOTER_ID,nG5388JNlu,Residential,5,7/18/2025,7/21/2025,7/26/2025,Rejected,9745,Emir Sridhar,Documents Verification in progress
281,Hridaan Talwar,Male,East,Tamil Nadu,352435,INDIVIDUAL,AADHAR,FY8182fNTh,Commercial,8,6/15/2025,6/21/2025,6/25/2025,Rejected,9839,Inaaya  Sarin,Documents Verification in progress
282,Elakshi Chacko,Male,East,Tamil Nadu,713958,INDIVIDUAL,AADHAR,zX7140tBcg,Residential,7,5/13/2025,5/18/2025,5/23/2025,Pending,9672,Zaina Krishnan,KYC failed
283,Mamooty Thaman,Female,North,Tamil Nadu,669843,JOINT,VOTER_ID,Ex4176aCIm,Commercial,1,7/13/2025,7/14/2025,7/17/2025,Connection Released,1046,Aradhya Bajaj,Installation completed
284,Mehul Behl,Male,West,Tamil Nadu,85237,INDIVIDUAL,PASSPORT,Li8227QnlG,Commercial,10,7/6/2025,7/10/2025,7/15/2025,Approved,1673,Vardaniya Dugal,Documents Verification in progress
285,Ehsaan Dhingra,Female,South,Tamil Nadu,673377,INDIVIDUAL,PAN,EP6645RMqq,Commercial,6,5/16/2025,5/24/2025,5/27/2025,Rejected,2587,Nitya Kumar,Installation pending
286,Krish Magar,Male,North,Tamil Nadu,517186,JOINT,PASSPORT,Gk2559ZIXL,Residential,3,7/13/2025,7/16/2025,7/20/2025,Approved,6610,Jivika Upadhyay,Documents Verification in progress
287,Samarth Gole,Male,West,Tamil Nadu,303268,INDIVIDUAL,AADHAR,mo5254usmz,Residential,6,4/20/2025,4/29/2025,5/1/2025,Connection Released,7775,Kashvi Handa,Installation pending
288,Mamooty Sastry,Male,East,Tamil Nadu,1735,JOINT,PASSPORT,wg9720UhoT,Residential,10,6/22/2025,6/30/2025,7/4/2025,Connection Released,5268,Akarsh Magar,Installation completed
289,Yuvaan Lanka,Female,East,Tamil Nadu,89232,JOINT,PASSPORT,at2085oBLC,Residential,2,4/25/2025,5/4/2025,5/5/2025,Rejected,4481,Tushar Jaggi,Installation completed
290,Pihu Vaidya,Female,South,Tamil Nadu,25621,JOINT,VOTER_ID,wD0378snub,Residential,2,5/6/2025,5/15/2025,5/19/2025,Connection Released,2451,Gatik Desai,Installation completed
291,Veer Chand,Female,North,Tamil Nadu,928644,INDIVIDUAL,AADHAR,Zr2079NTvQ,Residential,10,5/3/2025,5/10/2025,5/11/2025,Rejected,9267,Gokul Mallick,Installation pending
292,Miraya Sengupta,Male,North,Tamil Nadu,913404,JOINT,AADHAR,ih3765hxGX,Residential,1,7/12/2025,7/16/2025,7/20/2025,Approved,8447,Vidur Ramachandran,Installation completed
293,Seher Chad,Female,East,Tamil Nadu,699683,JOINT,AADHAR,lo4361yUSY,Residential,4,7/1/2025,7/2/2025,7/4/2025,Approved,3802,Armaan Garde,Documents Verification in progress
294,Pari Kunda,Female,North,Tamil Nadu,184042,JOINT,VOTER_ID,TE1727IObN,Residential,9,5/20/2025,5/26/2025,5/30/2025,Approved,7588,Damini Deep,Installation completed
295,Jiya Thaman,Female,East,Tamil Nadu,687563,JOINT,PASSPORT,ea3674EAEq,Residential,4,4/25/2025,5/5/2025,5/7/2025,Connection Released,6738,Alisha Bala,Installation pending
296,Riya Lata,Male,North,Tamil Nadu,26632,INDIVIDUAL,AADHAR,CX9113SgCZ,Commercial,8,5/18/2025,5/21/2025,5/24/2025,Connection Released,3743,Biju Sehgal,Installation pending
297,Ira Jani,Female,South,Tamil Nadu,596477,INDIVIDUAL,PAN,Oj4177hSmN,Commercial,1,5/4/2025,5/11/2025,5/13/2025,Pending,6120,Dhanuk Kuruvilla,Installation completed
298,Aaina Gulati,Male,West,Tamil Nadu,509618,JOINT,PAN,OO6271FOuG,Residential,7,4/30/2025,5/10/2025,5/14/2025,Pending,7019,Madhav Hari,KYC failed
299,Shamik Bains,Female,West,Tamil Nadu,245852,JOINT,AADHAR,VI2318DTIy,Commercial,10,4/15/2025,4/19/2025,4/24/2025,Rejected,6199,Dhruv Chaudry,Documents Verification in progress
300,Madhup Sachdeva,Male,West,Tamil Nadu,601629,INDIVIDUAL,AADHAR,bm4946xoOD,Residential,3,4/29/2025,5/4/2025,5/6/2025,Pending,2897,Zoya Trivedi,Documents Verification in progress
301,Ritvik Boase,Male,South,Tamil Nadu,597459,JOINT,PAN,ef8975wkcQ,Residential,3,6/1/2025,6/5/2025,6/10/2025,Rejected,3434,Manikya Mann,KYC failed
302,Emir Sandal,Male,East,Tamil Nadu,180068,JOINT,PASSPORT,ys5405KRGA,Residential,6,6/24/2025,6/29/2025,7/4/2025,Pending,9163,Zaina Chatterjee,KYC failed
303,Kanav Bansal,Female,North,Tamil Nadu,580432,JOINT,PASSPORT,ou7012HFbD,Residential,10,6/6/2025,6/7/2025,6/9/2025,Connection Released,7202,Taran Agrawal,Installation pending
304,Saira Mani,Male,South,Tamil Nadu,242397,INDIVIDUAL,VOTER_ID,mS7202HIND,Residential,4,7/19/2025,7/23/2025,7/24/2025,Pending,7248,Shayak Tank,KYC failed
305,Tejas Ravi,Male,South,Tamil Nadu,517193,JOINT,PAN,qp5300eGIC,Residential,5,7/12/2025,7/18/2025,7/20/2025,Approved,7402,Prerak Chauhan,Installation completed
306,Seher Devi,Female,East,Tamil Nadu,916359,INDIVIDUAL,AADHAR,bg7919izHK,Commercial,6,7/5/2025,7/9/2025,7/10/2025,Rejected,8198,Hridaan Kamdar,Installation pending
307,Ivan Sankaran,Male,West,Tamil Nadu,512135,JOINT,PASSPORT,ys1241AwBK,Residential,8,5/21/2025,5/26/2025,5/31/2025,Pending,7638,Kartik Wason,Installation completed
308,Ahana  Barman,Male,North,Tamil Nadu,897521,INDIVIDUAL,PAN,Ib1423ENVG,Commercial,2,4/15/2025,4/20/2025,4/25/2025,Rejected,9423,Anay Raval,Installation completed
309,Devansh Bora,Male,North,Tamil Nadu,936016,JOINT,PAN,aX5338QUEk,Commercial,10,5/25/2025,5/28/2025,6/1/2025,Approved,6992,Rania Sur,KYC failed
310,Nakul Bahl,Female,West,Tamil Nadu,214102,INDIVIDUAL,PAN,Vo4306znzu,Residential,9,7/20/2025,7/24/2025,7/29/2025,Approved,5454,Miraan Chadha,Installation pending
311,Kanav Bhat,Female,North,Tamil Nadu,19787,INDIVIDUAL,PASSPORT,gw3002qyjO,Residential,3,5/31/2025,6/3/2025,6/8/2025,Approved,4625,Manikya Ravi,Installation completed
312,Nayantara Chana,Female,South,Tamil Nadu,98976,JOINT,AADHAR,gy4927GxgK,Commercial,3,6/25/2025,6/26/2025,6/28/2025,Connection Released,6620,Bhamini Sarraf,Installation pending
313,Eshani Tank,Female,East,Tamil Nadu,366965,INDIVIDUAL,PAN,HP1438sJHs,Residential,9,5/16/2025,5/19/2025,5/24/2025,Connection Released,6518,Gatik Goswami,Installation pending
314,Faiyaz Singhal,Female,East,Tamil Nadu,50687,JOINT,PASSPORT,TK5171yztI,Commercial,3,6/9/2025,6/11/2025,6/12/2025,Connection Released,8721,Nitara Mander,Installation completed
315,Advika Gera,Female,North,Tamil Nadu,601636,INDIVIDUAL,VOTER_ID,Qz1282dJVG,Commercial,1,4/26/2025,5/2/2025,5/6/2025,Approved,5182,Divyansh Sunder,KYC failed
316,Manjari Subramanian,Male,East,Tamil Nadu,123384,JOINT,PAN,Ti5726HCdg,Commercial,6,7/16/2025,7/21/2025,7/26/2025,Approved,2239,Hiran Randhawa,Installation pending
317,Divij Kunda,Female,East,Tamil Nadu,918082,JOINT,PAN,aF5552HImG,Commercial,6,6/1/2025,6/10/2025,6/12/2025,Pending,9269,Saira Dyal,Installation pending
318,Bhavin Sahota,Female,South,Tamil Nadu,158523,INDIVIDUAL,AADHAR,tr8898yjFu,Commercial,2,4/30/2025,5/3/2025,5/7/2025,Rejected,8754,Biju Bhalla,Installation completed
319,Divij Dasgupta,Male,West,Tamil Nadu,160369,INDIVIDUAL,PAN,Nd5437IjrE,Commercial,7,6/29/2025,7/6/2025,7/8/2025,Approved,1430,Kimaya Sachar,Installation pending
320,Abram Butala,Male,East,Tamil Nadu,493617,JOINT,VOTER_ID,XF4490PxMY,Residential,4,5/17/2025,5/18/2025,5/19/2025,Pending,3075,Lakshay Deep,Installation pending
321,Aarna Char,Female,West,Tamil Nadu,37318,JOINT,AADHAR,QZ7950VYqn,Residential,5,5/17/2025,5/25/2025,5/30/2025,Connection Released,6616,Yashvi Brar,Documents Verification in progress
322,Eva Seth,Female,North,Tamil Nadu,931953,INDIVIDUAL,VOTER_ID,Wg6579UvAJ,Commercial,8,6/12/2025,6/19/2025,6/22/2025,Connection Released,3258,Ela Hegde,Documents Verification in progress
323,Bhamini D’Alia,Female,East,Tamil Nadu,872450,INDIVIDUAL,PASSPORT,eE8901Amsl,Commercial,4,6/21/2025,6/25/2025,6/26/2025,Connection Released,7986,Rania Sinha,Documents Verification in progress
324,Chirag Devi,Male,East,Tamil Nadu,42259,INDIVIDUAL,PASSPORT,mT8791fhbd,Residential,4,7/16/2025,7/22/2025,7/24/2025,Rejected,5479,Jivika Borah,Documents Verification in progress
325,Shayak Konda,Female,East,Tamil Nadu,111469,JOINT,PAN,Se2790mTyb,Residential,3,5/2/2025,5/6/2025,5/8/2025,Rejected,5887,Shlok Buch,Installation pending
326,Himmat Kant,Female,East,Tamil Nadu,705465,INDIVIDUAL,VOTER_ID,ss4730SrBZ,Commercial,1,7/10/2025,7/16/2025,7/18/2025,Connection Released,6976,Eshani Jaggi,Installation completed
327,Aarav Bala,Female,East,Tamil Nadu,415774,JOINT,AADHAR,sH7232prRn,Residential,10,4/28/2025,4/29/2025,5/1/2025,Rejected,5207,Ayesha Das,Documents Verification in progress
328,Mehul Babu,Male,West,Tamil Nadu,537887,INDIVIDUAL,PAN,rF8604xZiG,Commercial,4,5/2/2025,5/10/2025,5/15/2025,Pending,5589,Saanvi Vig,KYC failed
329,Indranil Dutt,Female,West,Tamil Nadu,467682,JOINT,AADHAR,qg6308sMPu,Residential,1,6/14/2025,6/21/2025,6/23/2025,Pending,4794,Manikya Soman,Documents Verification in progress
330,Saanvi Rajagopalan,Male,East,Tamil Nadu,703024,JOINT,VOTER_ID,bB7041tYXD,Commercial,8,4/18/2025,4/21/2025,4/23/2025,Rejected,4876,Bhamini Kaul,Installation completed
331,Hansh Jani,Female,West,Tamil Nadu,152959,JOINT,PASSPORT,Wu2336lEAt,Residential,10,6/1/2025,6/3/2025,6/6/2025,Approved,9895,Dhanush Suri,KYC failed
332,Purab Chakraborty,Female,East,Tamil Nadu,911035,JOINT,PAN,FQ4070wUaa,Residential,8,4/26/2025,5/3/2025,5/7/2025,Connection Released,2248,Ivan Kannan,Documents Verification in progress
333,Vihaan Agate,Male,East,Tamil Nadu,25196,INDIVIDUAL,PASSPORT,SM1867OkYD,Residential,7,4/18/2025,4/19/2025,4/22/2025,Pending,1010,Ivana Dhawan,KYC failed
334,Lavanya Vora,Female,West,Tamil Nadu,680863,JOINT,AADHAR,WI0877drgL,Residential,3,4/25/2025,5/5/2025,5/6/2025,Pending,9426,Anika Gopal,Installation completed
335,Zeeshan Balay,Male,West,Tamil Nadu,284328,INDIVIDUAL,VOTER_ID,lJ6749pEqY,Residential,3,6/30/2025,7/7/2025,7/11/2025,Connection Released,6419,Kiara Sahota,Installation pending
336,Sumer Tailor,Female,West,Tamil Nadu,991136,JOINT,PAN,OF5259mUxQ,Commercial,7,7/1/2025,7/10/2025,7/14/2025,Pending,4079,Jivin Bal,Installation completed
337,Sumer Chahal,Male,South,Tamil Nadu,646180,JOINT,AADHAR,ZK3830wBaA,Residential,1,7/12/2025,7/14/2025,7/18/2025,Approved,4033,Ahana  Dara,Documents Verification in progress
338,Alisha Bakshi,Female,West,Tamil Nadu,703731,JOINT,PASSPORT,uv6165UTJy,Residential,4,6/14/2025,6/23/2025,6/25/2025,Pending,8846,Pranay Sidhu,Documents Verification in progress
339,Zain Dass,Female,South,Tamil Nadu,172822,JOINT,PASSPORT,KT5950elKC,Residential,3,4/29/2025,5/1/2025,5/4/2025,Approved,9547,Ehsaan Bir,KYC failed
340,Emir Gole,Female,South,Tamil Nadu,716125,JOINT,PASSPORT,fM4180yFoU,Commercial,4,5/12/2025,5/17/2025,5/20/2025,Approved,4839,Anvi Dhar,KYC failed
341,Azad Tiwari,Male,West,Tamil Nadu,303718,INDIVIDUAL,VOTER_ID,lW4389EPSw,Residential,4,6/9/2025,6/18/2025,6/21/2025,Rejected,3241,Himmat Seth,Installation completed
342,Eva Swamy,Male,North,Tamil Nadu,395092,JOINT,VOTER_ID,wB7186DMih,Commercial,4,5/14/2025,5/22/2025,5/25/2025,Approved,2277,Kanav Aggarwal,Installation pending
343,Rania Bajwa,Male,West,Tamil Nadu,357398,INDIVIDUAL,PASSPORT,lN3437NTnR,Residential,9,4/28/2025,5/7/2025,5/10/2025,Connection Released,8814,Sumer Boase,Installation pending
344,Riya Dora,Female,South,Tamil Nadu,890667,INDIVIDUAL,PAN,gc2480CBpH,Commercial,4,5/8/2025,5/12/2025,5/14/2025,Connection Released,6947,Rhea Srinivasan,Documents Verification in progress
345,Rania Sankar,Female,North,Tamil Nadu,939730,INDIVIDUAL,AADHAR,VS7100XFXP,Residential,7,7/6/2025,7/12/2025,7/16/2025,Pending,1614,Hazel Kara,Installation pending
346,Neelofar Gulati,Male,South,Tamil Nadu,377246,JOINT,AADHAR,bu9409ANqf,Residential,10,7/17/2025,7/18/2025,7/21/2025,Rejected,2158,Drishya Arya,KYC failed
347,Riya Dubey,Female,North,Tamil Nadu,601466,INDIVIDUAL,PAN,ST9443mjfZ,Residential,3,4/25/2025,4/26/2025,5/1/2025,Pending,9847,Kartik Sastry,Installation completed
348,Saira Banik,Male,North,Tamil Nadu,61719,INDIVIDUAL,AADHAR,lY0362HDec,Commercial,6,5/28/2025,6/6/2025,6/10/2025,Approved,8404,Aaryahi Lanka,Installation pending
349,Krish Dora,Male,South,Tamil Nadu,993480,JOINT,AADHAR,RI1471MNgU,Commercial,3,6/19/2025,6/20/2025,6/21/2025,Approved,2616,Ira Chowdhury,Installation completed
350,Ritvik Tiwari,Female,North,Tamil Nadu,213650,INDIVIDUAL,AADHAR,Ne3023asYx,Commercial,9,5/10/2025,5/13/2025,5/15/2025,Pending,9864,Jhanvi Kala,Installation completed
351,Zoya Randhawa,Female,West,Tamil Nadu,383234,JOINT,AADHAR,Nz8618JCNw,Commercial,6,6/24/2025,7/3/2025,7/8/2025,Pending,1666,Vihaan Chowdhury,Installation completed
352,Charvi Basak,Male,North,Tamil Nadu,284161,JOINT,AADHAR,je2937HhMa,Residential,5,7/10/2025,7/12/2025,7/17/2025,Connection Released,8417,Aaryahi Lad,Documents Verification in progress
353,Dharmajan Rau,Female,North,Tamil Nadu,43959,INDIVIDUAL,AADHAR,Fq5610ufsQ,Commercial,8,5/19/2025,5/28/2025,6/2/2025,Connection Released,7824,Kashvi Vig,Installation pending
354,Krish Basu,Female,South,Tamil Nadu,588237,JOINT,PASSPORT,fd9714oLls,Commercial,3,4/26/2025,5/6/2025,5/9/2025,Connection Released,6204,Charvi Kale,Installation pending
355,Anaya Bava,Female,North,Tamil Nadu,796158,INDIVIDUAL,AADHAR,XP1751nlGF,Residential,2,5/6/2025,5/12/2025,5/15/2025,Connection Released,5129,Mehul Jani,Installation pending
356,Jayant Jain,Male,South,Tamil Nadu,266100,JOINT,AADHAR,Kd2925tXWW,Commercial,9,5/23/2025,6/1/2025,6/4/2025,Pending,4521,Aarav Kalla,Documents Verification in progress
357,Taimur Kashyap,Male,North,Tamil Nadu,441752,INDIVIDUAL,VOTER_ID,ZK2887sFMw,Commercial,10,7/22/2025,7/27/2025,8/1/2025,Approved,9660,Shanaya Ram,Installation pending
358,Adah Sethi,Male,East,Tamil Nadu,3224,INDIVIDUAL,PAN,Uv7400rTdm,Commercial,1,7/23/2025,7/27/2025,7/30/2025,Connection Released,5587,Manjari Hayer,Documents Verification in progress
359,Piya Sarkar,Male,East,Tamil Nadu,600361,INDIVIDUAL,AADHAR,pg5832RkXM,Commercial,4,4/16/2025,4/25/2025,4/26/2025,Pending,5846,Anika Vohra,Documents Verification in progress
360,Sahil Seshadri,Female,East,Tamil Nadu,833126,JOINT,PAN,vL7135NSMP,Commercial,5,7/1/2025,7/9/2025,7/11/2025,Pending,2217,Badal Sundaram,Installation completed
361,Hazel Verma,Female,South,Tamil Nadu,38316,JOINT,PASSPORT,IL0182IkYZ,Commercial,5,5/23/2025,5/29/2025,5/30/2025,Approved,7942,Madhup Rao,KYC failed
362,Shanaya Kakar,Female,East,Tamil Nadu,295804,INDIVIDUAL,PAN,wM9431FCRa,Commercial,10,5/24/2025,5/29/2025,6/2/2025,Rejected,1493,Ishita Kashyap,Installation pending
363,Indrans Luthra,Female,East,Tamil Nadu,647981,JOINT,AADHAR,di9763RYba,Commercial,9,4/20/2025,4/28/2025,5/3/2025,Rejected,2760,Nitya Dugar,Installation completed
364,Akarsh Dugal,Male,South,Tamil Nadu,421441,JOINT,AADHAR,Pz4183yOhd,Commercial,5,6/25/2025,6/30/2025,7/1/2025,Pending,5724,Samar Gour,Documents Verification in progress
365,Taimur Atwal,Female,West,Tamil Nadu,504773,JOINT,VOTER_ID,ze3982yCei,Commercial,2,4/18/2025,4/20/2025,4/22/2025,Pending,7656,Aaina Issac,KYC failed
366,Veer Kala,Female,East,Tamil Nadu,181358,INDIVIDUAL,PASSPORT,My5468XCFK,Commercial,5,5/24/2025,6/1/2025,6/4/2025,Pending,6312,Abram Lalla,KYC failed
367,Samaira Dayal,Female,West,Tamil Nadu,676251,INDIVIDUAL,AADHAR,kY9657SONL,Residential,10,7/24/2025,7/28/2025,8/1/2025,Approved,7415,Bhavin Bath,Installation pending
368,Vivaan Jani,Female,South,Tamil Nadu,176321,JOINT,VOTER_ID,Tz2360KNfl,Residential,8,7/8/2025,7/12/2025,7/13/2025,Approved,3445,Samar Borde,Documents Verification in progress
369,Dishani Dara,Male,South,Tamil Nadu,950251,JOINT,PAN,LF5693Qaok,Commercial,6,4/24/2025,4/30/2025,5/2/2025,Connection Released,5727,Riya Banik,Documents Verification in progress
370,Anahita Wadhwa,Male,East,Tamil Nadu,794057,INDIVIDUAL,PASSPORT,gK7313ADqC,Residential,10,4/23/2025,4/25/2025,4/27/2025,Connection Released,7044,Amira Deshmukh,Documents Verification in progress
371,Biju Kalla,Male,North,Tamil Nadu,657245,INDIVIDUAL,PASSPORT,vN0256cEBv,Commercial,2,7/21/2025,7/26/2025,7/30/2025,Connection Released,3438,Ahana  Uppal,KYC failed
372,Fateh Lad,Female,West,Tamil Nadu,256512,JOINT,VOTER_ID,mq0530jhMU,Residential,8,7/4/2025,7/5/2025,7/10/2025,Rejected,5794,Dharmajan Sant,Documents Verification in progress
373,Jiya Ganesh,Female,South,Tamil Nadu,1433,INDIVIDUAL,AADHAR,sV9403BhYT,Commercial,9,6/5/2025,6/12/2025,6/15/2025,Pending,7104,Emir Ramanathan,Installation pending
374,Gokul Brar,Female,East,Tamil Nadu,892201,JOINT,PASSPORT,FX3158Faoy,Residential,4,6/11/2025,6/14/2025,6/19/2025,Rejected,4356,Sana Choudhry,Installation completed
375,Gokul Sethi,Male,South,Tamil Nadu,435998,JOINT,AADHAR,yL2035pJyx,Residential,1,6/2/2025,6/6/2025,6/8/2025,Connection Released,1409,Riya Bains,KYC failed
376,Madhav Doshi,Male,North,Tamil Nadu,54921,JOINT,AADHAR,cf5599UeBB,Commercial,9,5/6/2025,5/10/2025,5/14/2025,Rejected,9669,Zain Kibe,KYC failed
377,Urvi Bhakta,Male,West,Tamil Nadu,510870,JOINT,PAN,Po5954iqUd,Commercial,4,4/24/2025,5/4/2025,5/8/2025,Rejected,3788,Pihu Hayer,Documents Verification in progress
378,Manikya Rajagopalan,Male,South,Tamil Nadu,559653,JOINT,VOTER_ID,aQ8213AmKw,Residential,2,5/22/2025,5/30/2025,6/1/2025,Connection Released,8107,Arhaan Jain,Documents Verification in progress
379,Ela Sathe,Male,West,Tamil Nadu,760752,JOINT,PASSPORT,zS6446aBhq,Residential,2,7/11/2025,7/16/2025,7/18/2025,Pending,9391,Aniruddh Bir,Installation pending
380,Aayush Vala,Female,South,Tamil Nadu,787708,INDIVIDUAL,VOTER_ID,bP3780BahO,Residential,3,7/10/2025,7/16/2025,7/17/2025,Connection Released,4620,Aarush Raj,Installation pending
381,Eva Rajagopalan,Male,East,Tamil Nadu,826056,INDIVIDUAL,AADHAR,TX5429CemA,Commercial,4,5/11/2025,5/13/2025,5/17/2025,Approved,2614,Alisha Ramesh,KYC failed
382,Fateh Loke,Male,West,Tamil Nadu,276357,JOINT,VOTER_ID,po3394mgYf,Residential,6,5/9/2025,5/11/2025,5/13/2025,Rejected,2484,Lakshit Golla,Installation pending
383,Nirvi Bhardwaj,Male,West,Tamil Nadu,17936,JOINT,VOTER_ID,OW0453rxml,Residential,8,4/25/2025,4/30/2025,5/4/2025,Approved,1606,Madhup Golla,KYC failed
384,Aaryahi Basu,Female,North,Tamil Nadu,972871,INDIVIDUAL,AADHAR,cg1875UZFh,Residential,8,6/16/2025,6/20/2025,6/23/2025,Pending,4066,Myra Dave,Installation completed
385,Ahana  Shukla,Female,West,Tamil Nadu,136938,JOINT,VOTER_ID,Px0336TUmt,Commercial,9,6/29/2025,7/2/2025,7/5/2025,Rejected,8113,Mehul Varma,KYC failed
386,Emir Dasgupta,Male,South,Tamil Nadu,27196,JOINT,PAN,ml9676OkiQ,Residential,4,6/23/2025,6/28/2025,6/29/2025,Pending,1020,Aaina Sarin,KYC failed
387,Jayant Lalla,Female,North,Tamil Nadu,345816,JOINT,PAN,kL6030bIYL,Commercial,8,5/3/2025,5/12/2025,5/13/2025,Approved,3031,Tarini Ghose,Installation pending
388,Reyansh Goel,Female,North,Tamil Nadu,69122,JOINT,PASSPORT,ys1962CljI,Residential,8,4/26/2025,5/2/2025,5/7/2025,Approved,3273,Rania Ratti,KYC failed
389,Umang Gopal,Male,South,Tamil Nadu,55032,INDIVIDUAL,VOTER_ID,bK8690wDuw,Commercial,8,4/28/2025,5/2/2025,5/6/2025,Rejected,6497,Umang Borah,KYC failed
390,Ela Barad,Male,North,Tamil Nadu,286584,JOINT,VOTER_ID,ih0758LLgU,Commercial,7,6/27/2025,7/2/2025,7/6/2025,Pending,3958,Jiya Bath,Installation pending
391,Bhavin Kalla,Female,North,Tamil Nadu,224856,INDIVIDUAL,AADHAR,Bv8237QlgJ,Residential,5,5/27/2025,6/1/2025,6/4/2025,Rejected,8952,Eva Sidhu,Installation completed
392,Jhanvi Tara,Male,North,Tamil Nadu,336836,JOINT,PAN,Fb1075LBbT,Commercial,5,7/18/2025,7/27/2025,7/28/2025,Approved,3117,Misha Joshi,Documents Verification in progress
393,Vritika Date,Male,East,Tamil Nadu,171252,JOINT,AADHAR,tD8115YhGI,Residential,5,5/12/2025,5/17/2025,5/22/2025,Connection Released,4679,Indrans Issac,KYC failed
394,Madhup Hora,Female,South,Tamil Nadu,819749,INDIVIDUAL,PAN,lo9514lJfd,Commercial,9,6/26/2025,7/6/2025,7/7/2025,Approved,9125,Nitara Comar,Installation completed
395,Arnav Sawhney,Male,North,Tamil Nadu,32828,INDIVIDUAL,VOTER_ID,cF9860cKQq,Residential,4,6/16/2025,6/20/2025,6/21/2025,Approved,1719,Yasmin Thaman,KYC failed
396,Ivan Saraf,Male,East,Tamil Nadu,24732,INDIVIDUAL,AADHAR,EH4244wrJZ,Commercial,3,7/16/2025,7/21/2025,7/23/2025,Rejected,7618,Jayan Bahri,Installation completed
397,Prerak Divan,Male,North,Tamil Nadu,866463,JOINT,PAN,XE5242ebOH,Residential,6,6/7/2025,6/10/2025,6/14/2025,Rejected,6168,Prisha Balasubramanian,KYC failed
398,Misha Sachdeva,Female,East,Tamil Nadu,4160,INDIVIDUAL,VOTER_ID,UZ2300tQkH,Residential,8,5/30/2025,5/31/2025,6/2/2025,Rejected,1498,Ahana  Sheth,Documents Verification in progress
399,Saanvi Lata,Male,South,Tamil Nadu,587460,INDIVIDUAL,VOTER_ID,Ye3561uKry,Residential,6,5/29/2025,6/6/2025,6/9/2025,Rejected,4195,Chirag D’Alia,Documents Verification in progress
400,Nayantara Gala,Male,East,Tamil Nadu,981195,JOINT,VOTER_ID,BE9808dZNK,Commercial,6,7/6/2025,7/13/2025,7/15/2025,Pending,1267,Lavanya Saini,Documents Verification in progress
401,Lakshit Luthra,Female,North,Tamil Nadu,631734,INDIVIDUAL,VOTER_ID,eN1228XyrQ,Commercial,8,6/7/2025,6/9/2025,6/13/2025,Rejected,8389,Alia Apte,Installation completed
402,Jivika Atwal,Male,South,Tamil Nadu,280401,INDIVIDUAL,VOTER_ID,ty0881ubtx,Commercial,5,6/30/2025,7/8/2025,7/9/2025,Pending,9625,Azad Shanker,KYC failed
403,Umang Sidhu,Male,South,Tamil Nadu,338136,JOINT,VOTER_ID,Lw9127KxOP,Residential,9,5/21/2025,5/24/2025,5/28/2025,Rejected,8794,Rasha Rama,Documents Verification in progress
404,Badal Iyengar,Male,West,Tamil Nadu,673227,INDIVIDUAL,AADHAR,Uc8205xMsP,Residential,3,6/26/2025,7/1/2025,7/6/2025,Pending,2105,Aarna Bhalla,Documents Verification in progress
405,Mahika Sankar,Male,South,Tamil Nadu,195468,JOINT,VOTER_ID,BJ5064GoYp,Commercial,8,7/11/2025,7/21/2025,7/26/2025,Connection Released,4295,Inaaya  Sangha,Installation completed
406,Charvi Arora,Female,North,Tamil Nadu,311225,JOINT,VOTER_ID,oj8970QiCL,Residential,6,6/11/2025,6/21/2025,6/23/2025,Rejected,4154,Samarth Ravi,Documents Verification in progress
407,Aaina Kapadia,Male,West,Tamil Nadu,186437,JOINT,PAN,QE7860ZAcJ,Commercial,9,7/12/2025,7/21/2025,7/24/2025,Rejected,1652,Shray Dhillon,KYC failed
408,Rania Hayer,Female,West,Tamil Nadu,640446,JOINT,PASSPORT,RA6756GRnq,Commercial,1,6/7/2025,6/11/2025,6/14/2025,Rejected,5811,Mahika Dube,Installation pending
409,Sara Khosla,Female,East,Tamil Nadu,660487,JOINT,AADHAR,Ud7282xsNp,Residential,5,4/18/2025,4/19/2025,4/21/2025,Rejected,1900,Dharmajan Krish,Installation completed
